n,RowByRow,PartitionOnce
5,25,25
6,37,34
7,55,45
8,73,57
9,96,70
10,122,85
11,149,100
12,181,117
13,217,136
14,256,156
15,296,176
16,339,198
17,379,218
18,433,244
19,483,269
20,537,296
21,598,325
22,662,355
23,726,386
24,791,416
25,865,450
26,927,479
27,1014,522
28,1089,555
29,1175,594
30,1266,638
31,1342,673
32,1433,715
33,1548,766
34,1630,805
35,1738,854
36,1835,899
37,1932,939
38,2037,990
39,2165,1046
40,2287,1099
41,2400,1152
42,2525,1205
43,2649,1261
44,2791,1325
45,2903,1377
46,3034,1435
47,3155,1485
48,3314,1559
49,3462,1625
50,3570,1673
51,3728,1743
52,3906,1822
53,4045,1883
54,4208,1955
55,4358,2021
56,4524,2091
57,4718,2175
58,4853,2238
59,5042,2317
60,5221,2401
61,5396,2476
62,5571,2547
63,5754,2636
64,5957,2719
65,6159,2812
66,6307,2878
67,6501,2957
68,6717,3053
69,6901,3129
70,7125,3228
71,7358,3326
72,7571,3420
73,7766,3509
74,7979,3597
75,8149,3673
76,8433,3798
77,8664,3894
78,8892,3999
79,9059,4064
80,9332,4196
81,9609,4311
82,9796,4391
83,10066,4510
84,10343,4626
85,10555,4724
86,10830,4836
87,11086,4945
88,11322,5046
89,11650,5191
90,11906,5307
91,12128,5396
92,12341,5482
93,12626,5608
94,13004,5765
95,13276,5892
96,13527,5985
97,13850,6135
98,14127,6248
99,14417,6375
100,14661,6484
101,14959,6613
102,15300,6762
103,15662,6913
104,15950,7027
105,16255,7169
106,16516,7282
107,16857,7421
108,17182,7557
109,17571,7740
110,17842,7850
111,18058,7957
112,18452,8114
113,18772,8241
114,19171,8421
115,19545,8575
116,19838,8702
117,20239,8871
118,20598,9028
119,20904,9166
120,21272,9316
121,21543,9439
122,21955,9604
123,22274,9733
124,22594,9882
125,23058,10070
126,23448,10260
127,23828,10406
128,24132,10533
129,24483,10682
130,24950,10882
131,25370,11076
132,25851,11266
133,26037,11340
134,26567,11557
135,26900,11716
136,27327,11899
137,27762,12086
138,28229,12291
139,28625,12443
140,28944,12570
141,29290,12730
142,29697,12910
143,30139,13095
144,30669,13313
145,31196,13552
146,31599,13714
147,31974,13851
148,32301,14031
149,32821,14245
150,33332,14458
151,33647,14571
152,34356,14881
153,34745,15062
154,35030,15191
155,35715,15430
156,35958,15580
157,36386,15733
158,36991,16023
159,37363,16166
160,37825,16357
161,38307,16549
162,38905,16826
163,39377,17038
164,39746,17180
165,40385,17452
166,40965,17679
167,41236,17786
168,41816,18032
169,42316,18282
170,42762,18474
171,43438,18730
172,43832,18919
173,44473,19215
174,44851,19333
175,45286,19519
176,45960,19799
177,46519,20030
178,46928,20240
179,47380,20379
180,48232,20768
181,48479,20882
182,48997,21083
183,49559,21341
184,50185,21615
185,50676,21804
186,51254,22044
187,52031,22374
188,52424,22539
189,53152,22853
190,53648,23068
191,53959,23187
192,54900,23615
193,55357,23805
194,55709,23961
195,56433,24264
196,56985,24493
197,57404,24674
198,58370,25050
199,58917,25287
200,59358,25502
201,60047,25777
202,60393,25929
203,61275,26299
204,61836,26569
205,62314,26743
206,62986,27047
207,63660,27334
208,64120,27511
209,64838,27806
210,65574,28095
211,66158,28373
212,66823,28634
213,67389,28887
214,68097,29134
215,68489,29336
216,69466,29764
217,69964,29998
218,70537,30206
219,71351,30554
220,72027,30850
221,72532,31044
222,73313,31378
223,73936,31652
224,74714,31971
225,75311,32210
226,75887,32470
227,76276,32605
228,77355,33045
229,78152,33417
230,78830,33719
231,79047,33832
232,79930,34192
233,80512,34426
234,81479,34832
235,81952,35029
236,82750,35381
237,83553,35694
238,84361,36046
239,84980,36293
240,85695,36650
241,86294,36842
242,87155,37216
243,87717,37454
244,88813,37913
245,89200,38146
246,89955,38374
247,90985,38857
248,91682,39118
249,92390,39417
250,92693,39523
251,93866,40067
252,94364,40252
253,94847,40496
254,95943,40910
255,96804,41285
256,97591,41635
257,98379,41994
258,99216,42340
259,99751,42530
260,100435,42789
261,101174,43124
262,102172,43529
263,103059,43987
264,103744,44186
265,104556,44550
266,105538,45033
267,106064,45178
268,106963,45566
269,107251,45699
270,108487,46224
271,109498,46672
272,109941,46816
273,110815,47207
274,111834,47658
275,112434,47883
276,113358,48282
277,114408,48720
278,115250,49035
279,115765,49280
280,116462,49584
281,117429,49988
282,118324,50367
283,119111,50723
284,120306,51188
285,120851,51411
286,121710,51796
287,122419,52091
288,123171,52416
289,124135,52814
290,125457,53390
291,125947,53593
292,127287,54115
293,127931,54394
294,128897,54786
295,129607,55135
296,130473,55516
297,131520,55923
298,132219,56227
299,133081,56599
300,134126,57035
